"Verbraucherpreisindex: Deutschland, Monate,
Klassifikation der Verwendungszwecke des Individualkonsums
(COICOP 2-5-Steller Hierarchie)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbraucherpreisindex für Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbraucherpreisindex (2020=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verwendungszwecke des Individualkonsums,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,
,,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Januar,Februar,März,April
Nahrungsmittel und alkoholfreie Getränke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Nahrungsmittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Brot und Getreideerzeugnisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Reis, einschließlich Reiszubereitungen",,92.5,92.8,92.5,92.3,92.4,92.4,92.3,92.4,92.5,92.5,92.5,91.8,92,92.4,91.8,92.4,92.3,92.5,92,91.6,91.8,91.7,92.2,92,91.8,92.8,92.9,93.1,93,92.9,92.7,92.7,93.1,93.2,92.8,93,92.3,93.8,94.9,95.3,95,95.5,95.6,95.6,95.3,95.6,95.4,95.8,95.9,97.3,98.1,98.7,98.8,98.8,99.9,98.8,99.4,99.6,99.4,99.2,99.6,99.3,100.4,100.7,102.4,101.5,99.3,99.4,98.9,99,99.8,99.8,101.3,102.6,102.3,103.3,102.4,102.6,102.9,102.3,103.7,102.8,102.9,102.4,103,104.4,104.4,109.4,113.4,114.6,115.7,121.6,122.8,125.3,126.5,127.3,127.8,128.4,129.4,131.7,135.5,137.2,138.1,137.2,139.7,140.5,139.7,140.4,140.5,142.3,137.2,136.3,136.9,136.9,136.6,136.3,135.8,137.3,137.6,139,139.2,138.9,139.4,139.2
      Brot und Brötchen,,91.7,91.8,91.9,92.1,92.1,92.3,92.4,92.7,92.7,92.7,92.9,92.8,93,93.2,93.3,93.5,93.7,93.8,93.7,93.7,94,93.9,94.1,94.3,94.3,94.3,94.3,94.2,94.4,94.6,94.8,94.7,94.8,95.1,95.1,95.2,95.4,95.5,95.2,95.5,95.3,95.7,95.7,95.8,96.1,96.1,96.7,97,97.2,97.6,97.8,98.3,98.5,98.4,98.8,99.1,99.1,99.1,99.4,99.9,100.2,100.3,100.4,100.7,100.8,100.9,99.4,99.4,99.4,99.3,99.5,99.6,101.4,102.3,102.2,102.6,102.8,103.1,103.7,104.2,105.3,105.4,106,106.9,108.3,108.9,109.4,112.2,114.5,116.8,119.9,120.7,122.9,124.6,127,128.1,129.6,130.7,131.2,132.3,132.5,133,133.1,133.3,133.7,133.2,133.6,134.1,133.8,135,135,135.1,135,135.3,135.2,135.2,136.1,136.2,136,136.3,137,137.3,137.7,137.7
    Fleisch und Fleischwaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Rind- und Kalbfleisch,,92.9,92.4,92.4,93.1,93.8,93.6,93.2,91.7,92.4,92.8,92.5,92.8,92.8,92.7,92.9,93.2,92.5,92.9,92.6,92.4,93.3,93.9,93.7,93.2,94.4,94.4,94,92.6,93.1,93.8,93.9,94.2,94.8,94.8,95,95.2,96,96.5,96.4,96.8,96.5,96.8,97.4,97.5,97.4,96.6,97.6,96.7,97.6,97.8,97.8,97.9,97.9,98.8,99.4,99.6,98.9,99.3,99.5,98.7,99.4,98.6,99.9,99.9,101.2,102.3,101.1,99.7,99.6,100.6,99.2,98.6,100.9,101.2,100.5,103,102.6,101.7,102.9,102.9,103.8,105,106.5,107.2,109.1,110.3,113.9,122.6,126,126.6,126.9,125.9,128.4,129.4,128.8,128.1,128,129.8,128.3,128.6,129.6,131.2,129.8,130.8,129.7,129.1,130.9,130.2,131.7,133,133.3,133.3,132.2,133.4,133,134,133.5,135.6,137.2,137.2,136.6,137.6,140.6,143.2
